Residence time (s),k (s^-1),Xa,dXadk
39.05943098,0.04881901,0.818201007138502,5.739716342626872
50.2629494,0.05337384,0.9068194313819447,3.7141212359482676
85.01866891,0.09122471,0.9983287891642799,0.09962913462578123
45.30028059,0.04376618,0.832844999830895,6.223034535714026
17.81533926,0.05458021,0.5802140312925828,6.025021142170238
10.09767151,0.0011629,0.011645599856882738,9.931501163468955
56.02734911,0.02122974,0.6758445112897141,16.33648995657999
15.20171097,0.04250991,0.4464014966829837,7.093490658711381
69.99931907,0.00639413,0.3558519422026236,43.55339735666272
43.94298819,0.06277255,0.9092386918193069,3.069326085905759
47.57471361,0.0372951,0.802518594402565,7.910085403258207
88.77875745,0.06407064,0.9926742311523922,0.4949298882563487
75.43342462,0.08626123,0.9955388380923356,0.23955923457047618
62.51809809,0.03812663,0.8861239711553004,5.961273742122041
10.84882656,0.07963205,0.527492737858462,3.920552087425185
13.75016915,0.02919205,0.314293367593397,8.35794021795757
39.92428169,0.09897597,0.9607151949093315,1.0874708818864844
46.79343046,0.03969265,0.8154139461185556,7.206080911361463
11.73798746,0.04088139,0.35760051481255806,6.447420969231875
77.43608056,0.09591868,0.9977124975400097,0.122715583629388
26.50994432,0.0074215,0.17558143131258463,21.055354957413144
28.02635856,0.07507417,0.8346321977481336,3.461038682579262
30.03099482,0.00316626,0.08999288023079088,26.881926073134895
36.91436977,0.03461423,0.6916424603568956,9.710089626586308
21.33524565,0.09281477,0.8086340500911947,2.923467260190496
25.99202303,0.09716236,0.875954265690764,2.268548472170023
38.49092042,0.07261274,0.908525410300363,2.6322199836739855
35.29116708,0.05232145,0.8062231631492366,5.468072914791711
77.05752267,0.09501791,0.9975276714297051,0.1323127350188552
81.09942827,0.08405793,0.9966172959081802,0.1964082713335087
70.7321042,0.01526169,0.6454137973547129,23.172325272066697
43.38027463,0.06844966,0.922453576188888,2.5427328688611905
83.00988349,0.00221646,0.1671066847029885,68.28808656039337
22.15410184,0.05429727,0.6572243408888693,6.086888344840299
74.79418167,0.04733752,0.9577299576737566,2.553053996363051
40.56409812,0.05620961,0.8658947095180056,4.283409652544823
25.08606593,0.06527107,0.7598522179320033,4.647209927436178
49.42389665,0.02690782,0.7116550029709207,12.513915732775747
34.61579518,0.07779864,0.8983983923499896,2.593704183913039
53.21014152,0.07361908,0.9644585463724491,1.402902942383988
20.89148191,0.08753487,0.7856779598940422,3.254137282256443
18.78416369,0.06954337,0.67864237633388,4.6341818992140835
89.26392785,0.05669072,0.9881519100766651,0.825073983839568
59.66850424,0.0195388,0.6699354173309686,17.84637497623369
41.25984261,0.04300297,0.7989685842540798,6.84320148398465
86.69870709,0.06605253,0.9927878253051597,0.47284740349814475
48.27627554,0.07106914,0.9470321771018614,1.9142427193627298
55.16146894,0.0393545,0.8611858859467421,6.38718373961454
61.78813849,0.01112666,0.48694667751081044,29.89773400178791
72.93281177,0.08945658,0.9954795004544307,0.23265532502460134
57.51329101,0.03053405,0.8036637162197756,9.755193362591525
37.8367358,0.05072386,0.8191290321745529,5.496944634285386
32.53815991,0.01422515,0.3601448271998511,19.398823820069946
70.89936503,0.04848916,0.953364156913488,2.659840590946943
85.68226402,0.0904814,0.9983370419061945,0.10011226204514154
66.17000187,0.02784064,0.8204617785381213,10.371728177559202
64.98181366,0.05773253,0.962605790193315,1.8934580991798666
15.79088504,0.07574152,0.6439742659448374,4.266065101211298
79.32149494,0.01879086,0.7580185674574682,17.43403295514106
20.19088612,0.02206153,0.34502908683524147,11.963194638350346
68.25211532,0.0999846,0.996131156833672,0.18118222297724815
31.59652281,0.09384086,0.9141879574898697,1.9150586767450863
54.70684513,0.02315299,0.6970845296903632,14.780898964102267
48.69433414,0.0680601,0.9423360950488961,2.121659088939594
60.8581734,0.0713616,0.975549966260873,1.1098337712254656
68.69603432,0.08249758,0.9913173175728601,0.42964619148131483
33.22174581,0.02627231,0.5590535743190366,12.941633525342551
44.60233547,0.0054603,0.21337724925714063,34.081012969002565
51.44062215,0.07640677,0.9643089036359669,1.3510613894181114
58.87172773,0.03491335,0.8484654998669009,7.569105504250749
83.90900801,0.01993298,0.7955866163627344,15.493941585857858
23.00661722,0.08062897,0.7933763779852734,3.5112678533569706
66.86983655,0.02474378,0.7884895637731809,12.514041162816802
42.64176622,0.00812032,0.2874560037818973,29.120700661070405
63.74438291,0.06084313,0.9658741479638837,1.6776706446338305
80.20034366,0.04609438,0.9635134577323035,2.3728265054226045
81.85012645,0.05886984,0.9851126257405597,0.944098528504318
26.98848465,0.08140363,0.8443842705397308,3.0819466427670075
35.73466486,0.085501,0.9227238610104452,1.9905313243150338
12.67459926,0.00907947,0.10667290440464572,10.882817490195553
58.67932253,0.08896253,0.9868283514511994,0.5474811021881482
75.70093941,0.0132312,0.6197146863613934,26.855610749997545
73.67644088,0.0614284,0.9804416044563111,1.1077682096348898
32.07929673,0.00447733,0.13234133559262595,27.19296117624913
29.43383085,0.0161469,0.366543330608068,17.23262317355403
52.49344039,0.04951684,0.9013619476541384,4.160575902344685
65.53394809,0.0251059,0.7863699594002594,12.36853956154232
14.09512481,0.03629469,0.3776079671258351,7.573857291784818
24.28797739,0.0452728,0.6300262073036464,7.413542394107896
78.36805298,0.08488923,0.9960932903374219,0.2187324961598119
16.57713335,0.01280583,0.18623635287957563,12.72359437268747
87.87187103,0.03295583,0.9305151646277297,5.209857220827822
57.19408867,0.03110827,0.80742380528765,9.492984097619743
28.54294985,0.01733798,0.3775841477340629,16.336306247223234
86.93845282,0.09695718,0.9989764621596255,0.06140902438620436
82.43336281,0.03229281,0.914162820636044,6.0560009956170395
63.56558368,0.06696699,0.9744084090898774,1.229749399341003
52.14425342,0.05966595,0.9340450963491206,2.6683039334306096
19.27148883,0.07853461,0.7261707001910324,3.9431972018799004
72.2749815,0.01003851,0.5064534935862928,33.813499350817736
